Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Porcine epidemic diarrhea virus			28295	PEDV_GER_L01013-K01_15-03_2015	GCA_900197515.1	GenBank	INSDC Submitter	Complete Genome	28029	28029	2017-08-08	6	PRJEB19039	SAMEA81270418
Porcine epidemic diarrhea virus			28295	PEDV_AUSTRIA_L01065-M10_15-04_2015	GCA_900197535.1	GenBank	INSDC Submitter	Complete Genome	28030	28030	2017-08-08	6	PRJEB19039	SAMEA81280168
Porcine epidemic diarrhea virus			28295	PEDV_GER_L01015-K01_15-05_2015	GCA_900197545.1	GenBank	INSDC Submitter	Complete Genome	28030	28030	2017-08-08	6	PRJEB19039	SAMEA81271918
Porcine epidemic diarrhea virus			28295	PEDV_AUSTRIA_L01063-M10_15-02_2015	GCA_900197555.1	GenBank	INSDC Submitter	Complete Genome	28030	28030	2017-08-08	6	PRJEB19039	SAMEA81278668
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00862_2014	GCA_900197565.1	GenBank	INSDC Submitter	Complete Genome	27995	27995	2017-08-08	6	PRJEB19039	SAMEA81256918
Porcine epidemic diarrhea virus			28295	Br1_87_DTU	GCA_900205315.1	GenBank	INSDC Submitter	Complete Genome	28061	28061	2018-02-24	1	PRJEB20818	SAMEA104205505
Porcine epidemic diarrhea virus			28295	CV777_WBR	GCA_900205325.1	GenBank	INSDC Submitter	Chromosome	20676	27969	2018-02-24	1	PRJEB20818	SAMEA104205509
Porcine epidemic diarrhea virus			28295	CV777_ANSES	GCA_900205335.1	GenBank	INSDC Submitter	Complete Genome	28017	28017	2018-02-24	1	PRJEB20818	SAMEA104205507
Porcine epidemic diarrhea virus			28295	CV777_APHA	GCA_900205345.1	GenBank	INSDC Submitter	Complete Genome	28026	28026	2018-02-24	1	PRJEB20818	SAMEA104205508
Porcine epidemic diarrhea virus			28295	CV777_IZSLER	GCA_900205355.1	GenBank	INSDC Submitter	Complete Genome	27945	27945	2018-02-24	1	PRJEB20818	SAMEA104205506
Porcine epidemic diarrhea virus		strain: CV777	28295	ViralProj14739	GCF_000848685.1	RefSeq	NCBI RefSeq	Complete Genome	28033	28033	2001-04-23	6		
Human coronavirus 229E		strain: 229E	11137	ViralProj14913	GCF_000853505.1	RefSeq	NCBI RefSeq	Complete Genome	27317	27317	2001-01-11	7		
Human coronavirus NL63		strain: Amsterdam I	277944	ViralProj14960	GCF_000853865.1	RefSeq	NCBI RefSeq	Complete Genome	27553	27553	2004-03-23	6		
Feline infectious peritonitis virus		isolate: 79-1146	11135	ViralProj15097	GCF_000856025.1	RefSeq	NCBI RefSeq	Complete Genome	29355	29355	2000-05-11	10		
Scotophilus bat coronavirus 512		strain: BtCoV/512/2005	693999	ViralProj20135	GCF_000870985.1	RefSeq	NCBI RefSeq	Complete Genome	28203	28203	2007-07-24	6		
Rhinolophus bat coronavirus HKU2		strain: HKU2/GD/430/2006	693998	ViralProj27911	GCF_000875645.1	RefSeq	NCBI RefSeq	Complete Genome	27165	27165	2007-11-20	8		
Bat coronavirus 1A		strain: AFCD62	393767	ViralProj29247	GCF_000879255.1	RefSeq	NCBI RefSeq	Complete Genome	28326	28326	2008-03-13	6		
Miniopterus bat coronavirus HKU8		strain: AFCD77	694001	ViralProj29245	GCF_000879875.1	RefSeq	NCBI RefSeq	Complete Genome	28773	28773	2008-03-13	7		
Rousettus bat coronavirus HKU10		isolate: 183A	1241933	ViralProj177902	GCF_000899495.1	RefSeq	NCBI RefSeq	Complete Genome	28494	28494	2012-10-18	9		
Bat coronavirus CDPHE15/USA/2006		strain: bat/USA/CDPHE15/2006	1384461	ViralProj215863	GCF_000913415.1	RefSeq	NCBI RefSeq	Complete Genome	28035	28035	2013-08-20	7	PRJNA260063	
Mink coronavirus strain WD1127		strain: WD1127	766791	ViralProj241029	GCF_000919475.1	RefSeq	NCBI RefSeq	Complete Genome	28941	28941	2014-03-12	10		
Camel alphacoronavirus		isolate: camel/Riyadh/Ry141/2015	1699095	ViralProj306529	GCF_001500975.1	RefSeq	NCBI RefSeq	Complete Genome	27395	27395	2016-01-05	7		
Swine enteric coronavirus		strain: Italy/213306/2009	1766554	ViralProj307783	GCF_001501415.1	RefSeq	NCBI RefSeq	Complete Genome	28111	28111	2016-01-05	9		
BtRf-AlphaCoV/YN2012		isolate: BtRf-YN2012	1503293	ViralProj307855	GCF_001501755.1	RefSeq	NCBI RefSeq	Complete Genome	26975	26975	2016-01-05	6		
BtMr-AlphaCoV/SAX2011		isolate: BtMr-SAX2011	1503289	ViralProj307859	GCF_001503155.1	RefSeq	NCBI RefSeq	Complete Genome	27935	27935	2016-01-05	6		
BtRf-AlphaCoV/HuB2013		isolate: BtRf-HuB2013	1503292	ViralProj307856	GCF_001504755.1	RefSeq	NCBI RefSeq	Complete Genome	27608	27608	2016-01-05	7		
BtNv-AlphaCoV/SC2013		isolate: BtNv-SC2013	1503291	ViralProj307857	GCF_001505415.1	RefSeq	NCBI RefSeq	Complete Genome	27783	27783	2016-01-05	6		
Ferret coronavirus		isolate: FRCoV-NL-2010	1264898	ViralProj325258	GCF_001661775.1	RefSeq	NCBI RefSeq	Complete Genome	28434	28434	2016-06-10	8		
NL63-related bat coronavirus		strain: BtKYNL63-9a	1920748	ViralProj357487	GCF_001904885.1	RefSeq	NCBI RefSeq	Complete Genome	28363	28363	2016-12-14	7		
Lucheng Rn rat coronavirus		isolate: Lucheng-19	1508224	ViralProj361952	GCF_001962315.1	RefSeq	NCBI RefSeq	Complete Genome	28763	28763	2017-01-17	5		
Coronavirus AcCoV-JC34		isolate: AcCoV-JC34	1964806	ViralProj390412	GCF_002194405.1	RefSeq	NCBI RefSeq	Complete Genome	27682	27682	2017-06-13	9		
Wencheng Sm shrew coronavirus		isolate: Xingguo-101	1508228	ViralProj394320	GCF_002219865.1	RefSeq	NCBI RefSeq	Complete Genome	25995	25995	2017-07-14	5		
Transmissible gastroenteritis virus			11149	ASM298599v1	GCF_002985995.1	RefSeq	NCBI RefSeq	Complete Genome	28586	28586	2018-08-24	9		
NL63-related bat coronavirus			1920748	ASM397206v1	GCF_003972065.1	RefSeq	NCBI RefSeq	Complete Genome	28679	28679	2020-05-15	7		
Wencheng Sm shrew coronavirus			1508228	ASM1227163v1	GCF_012271635.1	RefSeq	NCBI RefSeq	Complete Genome	25984	25984	2020-05-15	5		
Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015			2492658	ASM1227173v1	GCF_012271735.1	RefSeq	NCBI RefSeq	Complete Genome	28128	28128	2020-04-12	6		
